"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 12- 31","249.92","249.56","250.19","247.47","144.30M","0.88%"
"2018- 12- 28","247.75","249.58","251.40","246.45","153.10M","-0.13%"
"2018- 12- 27","248.07","242.57","248.29","238.96","186.27M","0.77%"
"2018- 12- 26","246.18","235.97","246.18","233.76","218.49M","5.05%"
"2018- 12- 24","234.34","239.04","240.84","234.27","147.31M","-2.64%"
"2018- 12- 21","240.70","246.74","249.71","239.98","255.35M","-2.62%"
"2018- 12- 20","247.17","249.86","251.62","244.65","252.05M","-1.63%"
"2018- 12- 19","251.26","255.17","259.40","249.35","214.99M","-1.50%"
"2018- 12- 18","255.08","257.20","257.95","253.28","134.52M","-0.11%"
"2018- 12- 17","255.36","259.40","260.65","253.53","165.49M","-1.96%"
"2018- 12- 14","260.47","262.96","264.03","259.85","116.96M","-1.85%"
"2018- 12- 13","265.37","266.52","267.49","264.12","96.66M","-0.03%"
"2018- 12- 12","265.46","267.47","269.00","265.37","97.98M","0.50%"
"2018- 12- 11","264.13","267.66","267.87","262.48","121.50M","0.02%"
"2018- 12- 10","264.07","263.37","265.16","258.62","151.45M","0.19%"
"2018- 12- 07","263.57","269.46","271.22","262.63","161.02M","-2.32%"
"2018- 12- 06","269.84","265.92","269.97","262.44","204.19M","-0.15%"
"2018- 12- 04","270.25","278.37","278.85","269.90","177.99M","-3.24%"
"2018- 12- 03","279.30","280.28","280.40","277.50","103.02M","1.32%"
"2018- 11- 30","275.65","273.81","276.28","273.45","98.20M","0.61%"
"2018- 11- 29","273.98","273.71","275.55","272.43","82.35M","-0.22%"
"2018- 11- 28","274.58","269.60","274.58","268.33","127.63M","2.30%"
"2018- 11- 27","268.40","266.34","268.40","265.66","75.50M","0.34%"
"2018- 11- 26","267.50","265.78","267.75","265.34","79.98M","1.61%"
"2018- 11- 23","263.25","263.18","264.82","263.07","42.81M","-0.67%"
"2018- 11- 21","265.02","265.86","267.15","265.01","75.56M","0.34%"
"2018- 11- 20","264.12","265.36","267.00","263.15","136.02M","-1.85%"
"2018- 11- 19","269.10","273.05","273.38","268.07","103.06M","-1.69%"
"2018- 11- 16","273.73","271.79","274.75","271.21","126.67M","0.26%"
"2018- 11- 15","273.02","268.78","273.54","267.01","135.10M","1.04%"
"2018- 11- 14","270.20","274.16","274.61","268.45","125.34M","-0.68%"
"2018- 11- 13","272.06","273.09","275.32","271.25","98.18M","-0.19%"
"2018- 11- 12","272.57","277.19","277.46","271.99","99.67M","-1.87%"
"2018- 11- 09","277.76","279.03","279.24","276.18","98.81M","-0.98%"
"2018- 11- 08","280.50","280.11","281.22","279.22","65.58M","-0.18%"
"2018- 11- 07","281.01","277.56","281.10","277.08","102.75M","2.14%"
"2018- 11- 06","275.12","273.32","275.30","273.25","60.09M","0.63%"
"2018- 11- 05","273.39","272.44","274.01","271.35","65.62M","0.55%"
"2018- 11- 02","271.89","274.75","275.23","269.59","122.63M","-0.59%"
"2018- 11- 01","273.51","271.60","273.73","270.38","99.50M","1.06%"
"2018- 10- 31","270.63","270.65","273.23","270.12","128.30M","1.07%"
"2018- 10- 30","267.77","263.67","268.12","263.12","157.12M","1.48%"
"2018- 10- 29","263.86","268.80","270.25","259.85","160.75M","-0.55%"
"2018- 10- 26","265.33","265.92","271.00","262.29","201.57M","-1.76%"
"2018- 10- 25","270.08","267.38","271.81","266.23","138.06M","1.79%"
"2018- 10- 24","265.32","273.33","273.76","264.70","177.81M","-3.03%"
"2018- 10- 23","273.61","270.95","274.87","268.61","146.35M","-0.51%"
"2018- 10- 22","275.01","277.00","277.36","274.41","82.42M","-0.45%"
"2018- 10- 19","276.25","277.13","279.30","275.47","139.90M","-0.05%"
"2018- 10- 18","276.40","279.40","280.07","274.97","134.56M","-1.44%"
"2018- 10- 17","280.45","280.44","281.15","277.56","110.63M","0.02%"
"2018- 10- 16","280.40","276.60","280.82","276.07","118.26M","2.19%"
"2018- 10- 15","274.40","275.55","277.04","274.30","102.26M","-0.56%"
"2018- 10- 12","275.95","276.77","277.09","272.37","183.19M","1.39%"
"2018- 10- 11","272.17","277.08","278.90","270.36","274.84M","-2.20%"
"2018- 10- 10","278.30","286.83","286.91","277.88","214.73M","-3.17%"
"2018- 10- 09","287.40","287.39","288.86","286.77","74.34M","-0.15%"
"2018- 10- 08","287.82","287.05","288.22","285.50","87.74M","0.00%"
"2018- 10- 05","287.82","289.69","290.27","286.22","105.95M","-0.56%"
"2018- 10- 04","289.44","291.18","291.24","287.66","111.55M","-0.78%"
"2018- 10- 03","291.72","292.74","293.21","291.32","64.69M","0.05%"
