통계표,"1.2.1.2 본원통화 구성내역(말잔,원계열)","1.2.1.2 본원통화 구성내역(말잔,원계열)","1.2.1.2 본원통화 구성내역(말잔,원계열)"
항목명1,"본원통화(말잔,원계열)","현금통화","중앙은행 대 예금취급기관부채"
단위,"십억원 ","십억원 ","십억원 "
변환,"원자료","원자료","원자료"
2011,"80,055.9","39,609.1","40,446.8"
2012,"88,342","44,173.8","44,168.2"
2013,"104,262","53,316.2","50,945.8"
2014,"116,793.7","64,438.5","52,355.2"
2015,"131,438.8","76,343.4","55,095.4"
2016,"143,435.3","86,829.5","56,605.8"
2017,"155,881","96,842.8","59,038.2"
2018,"172,353.3","103,994.8","68,358.5"
2019,"191,829.3","114,523.9","77,305.4"
2020,"221,503.7","136,152.6","85,351.1"
2021,"248,785.5","156,264.2","92,521.4"
1) 1.2.1.2 본원통화 구성내역(말잔,원계열)
통계담당 : 한국은행 경제통계국 금융통계팀(02-759-4310)
주 : 1) 본원통화 = 현금통화 + 중앙은행의 대 예금취급기관 부채 등(RP, 통화안정증권 제외)
2) 최종월은 잠정치

